city,temperature,apparent_temperature,wind_speed,humidity,precipitation,rain,snowfall,cloud_cover,wind_gusts,timestamp
Seoul,20.7,24.5,2.6,99.0,0.0,0.0,0.0,80.0,9.7,2026-07-02T21:51:49.134+01:00
Seoul,20.8,24.6,2.6,99.0,0.0,0.0,0.0,88.0,10.4,2026-07-02T22:07:28.688+01:00
Seoul,20.8,24.7,2.6,99.0,0.0,0.0,0.0,93.0,11.2,2026-07-02T22:23:08.868+01:00
Seoul,20.8,24.7,2.4,99.0,0.0,0.0,0.0,95.0,12.2,2026-07-02T22:38:49.170+01:00
Seoul,20.9,24.8,2.3,99.0,0.0,0.0,0.0,97.0,14.4,2026-07-02T22:54:27.879+01:00
Seoul,20.9,24.9,2.3,99.0,0.0,0.0,0.0,98.0,15.8,2026-07-02T23:10:08.157+01:00
Seoul,21.0,24.9,2.3,99.0,0.0,0.0,0.0,99.0,16.6,2026-07-02T23:25:47.124+01:00
Seoul,21.0,25.0,2.5,99.0,0.0,0.0,0.0,100.0,17.3,2026-07-02T23:41:25.452+01:00
Seoul,21.0,25.0,2.5,99.0,0.0,0.0,0.0,100.0,17.6,2026-07-02T23:56:59.684+01:00
Seoul,21.2,25.1,3.4,98.0,0.0,0.0,0.0,88.0,18.0,2026-07-03T00:12:18.731+01:00
Seoul,21.4,25.2,3.3,97.0,0.0,0.0,0.0,83.0,18.0,2026-07-03T00:27:45.422+01:00
Seoul,21.6,25.4,3.3,95.0,0.0,0.0,0.0,75.0,18.0,2026-07-03T00:43:15.208+01:00
Seoul,21.8,25.6,2.9,94.0,0.0,0.0,0.0,67.0,17.6,2026-07-03T00:58:46.202+01:00
Seoul,22.0,25.7,3.1,92.0,0.0,0.0,0.0,60.0,18.0,2026-07-03T01:14:15.096+01:00
Seoul,22.2,26.0,2.9,91.0,0.0,0.0,0.0,54.0,18.7,2026-07-03T01:29:44.554+01:00
Seoul,23.1,26.7,3.6,86.0,0.0,0.0,0.0,45.0,21.2,2026-07-03T01:45:14.356+01:00
Seoul,23.4,27.1,3.6,85.0,0.0,0.0,0.0,43.0,22.0,2026-07-03T02:00:43.165+01:00
Seoul,23.7,27.5,3.3,84.0,0.0,0.0,0.0,40.0,22.0,2026-07-03T02:16:11.205+01:00
Seoul,24.0,28.0,2.9,83.0,0.0,0.0,0.0,36.0,22.0,2026-07-03T02:31:35.905+01:00
Seoul,24.4,28.3,2.5,81.0,0.0,0.0,0.0,33.0,22.0,2026-07-03T02:46:52.510+01:00
Seoul,24.7,28.8,2.2,80.0,0.0,0.0,0.0,33.0,22.3,2026-07-03T03:02:13.577+01:00
Seoul,25.0,29.2,1.8,79.0,0.0,0.0,0.0,37.0,23.4,2026-07-03T03:17:36.079+01:00
Seoul,25.4,29.6,1.4,77.0,0.0,0.0,0.0,43.0,24.5,2026-07-03T03:32:58.366+01:00
Seoul,25.6,29.8,1.1,75.0,0.0,0.0,0.0,50.0,25.9,2026-07-03T03:48:17.111+01:00
Seoul,25.9,30.1,1.1,74.0,0.0,0.0,0.0,55.0,27.4,2026-07-03T04:03:38.014+01:00
Seoul,26.2,30.4,1.1,73.0,0.0,0.0,0.0,57.0,28.4,2026-07-03T04:18:57.322+01:00
Seoul,26.4,30.5,1.8,72.0,0.0,0.0,0.0,56.0,29.2,2026-07-03T04:34:15.233+01:00
Seoul,26.6,30.8,2.3,72.0,0.0,0.0,0.0,55.0,30.2,2026-07-03T04:49:30.642+01:00
Seoul,26.8,30.9,2.8,71.0,0.0,0.0,0.0,55.0,31.3,2026-07-03T05:04:47.097+01:00
Seoul,27.0,30.9,3.1,70.0,0.0,0.0,0.0,56.0,32.8,2026-07-03T05:20:03.648+01:00
